"Task 1:
Finding problem Statement of DI UPG",Task Details,Deadline,Progress,January,,,,February,,,,March,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,,,December,,,,
,"Preparing visiting document (objective, methodolody)"," 27 Jul, 26",🟡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Field Visit (UPG)
Barishal, Sirajganj, Bagura respectively"," 25 Aug, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Field Visit (DI UPG)
Place is not decided yet"," 20 Sep, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presentation about my obsersation to team," 8 Sep, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finalizing the problem statement," 10 Sep, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Task 2:
Supporting IDP youth Module Development with BIGD",Task Details,Deadline,Progress,January,,,,February,,,,March,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,,,December,,,,
,Attending FDG to understand selected youth participants," 27 Jul, 26",🟡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reviewing the session name of training module," 6 Aug, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assisting in drafting the session plan of training module," 20 Aug, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attending Workshop for vetting the session plan," 25 Aug, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assisting in finalizing the session plan," 31 Aug, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Task 3:
Developing IDP Graduation Criteria",Task Details,Deadline,Progress,January,,,,February,,,,March,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,,,December,,,,
,Understanding the context of IDP and onboarding the assignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Attending the workshop with IDP HO and Field Staffs to understand the problem statement of VDO graduation criteria, models, barries and what to do for scaling."," 18 Feb, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Field Visit:
Visitng to Gaibandha Char areas (Kalai Suta, Dangar Char, Lal Chamar Char, Kanicharitabari Char) for 5 days. Shadow the PO bhai/apa in understand their work, activity"," 22 Feb, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDP Field Visit (North Char).pptx
,"Field Visit:
Visitng to Rupsha area for 5 days. Shadow the PO bhai/apa in understand their work, activity of IDP"," 8 Mar, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Literature Review:
Reviewing key program documents including Previous document, IDP framework, Annual Operating Plan (AOP), Theory of Change (ToC), DJS and workflow documentation to establish a solid knowledge base.                                                ",Ongoing,🟡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Previous Lit. 
,"Official Onboarding:
Alignment of work plan, how we do the work with Anjuman apa and Mokhles bhai for onboarding of IDP assignment"," 30 Mar, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Field Visit:
Visitng to Haor Area to understand the context anf PO work",,⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Field Visit:
Visitng to CHT Area to understand the context anf PO work",,⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Field Visit:
Visitng to Barind Area to understand the context anf PO work",,⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finalizing Household level graduation Indicators and definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exploring previous document of UPG and existing literature to understand HH level indicators. What could be the criteria, and must have things while producing the indicators. Producing first draft of HH indicators"," 8 Apr, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meeting 1:
Presenting the initial draft, discussing on the document and reviewing the context and portions of indicators"," 9 Apr, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meeting 2 (Online):
Discussing the rest of the indicators"," 13 Apr, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Understanding reviews, why changes happened, and edit the document"," 26 Apr, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meeting 3:
To understand field arguments, meeting with PM bhais "," 27 Apr, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meeting 4:
Discussing about PM bhai's field observation, live editing the documents with inter-team"," 6 May, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Initial drafting of ""Definition of proposing indicators"""," 18 May, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meeting 5:
Reviewing the indicators (rest) and definition of HH indicators"," 24 May, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meeting 6:
Reviewing the indicators (rest) and definition of HH indicators"," 10 Jun, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meeting 7:
Inter-team discussion about HH level indicator agreement and baseline questioner for field-test. We got 21 indicators in which 8 indicators are mandatory. Moreover, Baseline initial draft is sent to Research team to edit."," 22 Jun, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HH Level Draft for team 
,"Meeting 8: Presenting learning report to the team, discussion about how we re-shape the indication in less number"," 19 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finalizing the HH level indicators and Baseline questioners with Adib bhai and incorporating edits accordingly (We got 14 indicators in which all indicators are mandatory)," 19 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re-defining Definition of new edited indicators with taking review from teammembers," 26 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finalizing Baseline Questionnaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For field test, Baseline questioner (HH level) needs to be prepared. With help of Reserach team (Gourab Dada), team prepared the draft questioner document."," 6 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crosschecking Baseline questioner with team and re-adjust.," 9 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicators and defination
,Field visit: Visiting in Dinajpur to test the question and collecting the feedback," 15 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicators and defination
,Prepearing Learning report of field visit," 19 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re-organize the Baseline Servey questionaire as per new proposed indicators and definition with review from team members," 28 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drafted Finalize HH level questionnaire document with definition with team review," 2 Aug, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finalizing Community level graduation Indicators and definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exploring previous draft documents of CL indicators," 12 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drafting CL indicators ," 20 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meeting 1:
Presenting the initial draft, discussing on the document and reviewing the context and portions of indicators"," 24 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Editing with feedback ," 31 Jul, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meeting 2:
Presenting the initial draft, discussing on the document and reviewing the context and portions of indicators"," 3 Aug, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finalizing CL indicators," 5 Aug, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finalizing Scoring Criteria of IDP indicators  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Explore to UPG BI (Mushfik Bhai) and UPG to understand how he worked with scoring settings previously," 12 May, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exploring the previous documents of scoring, WHO/UN guideline and sample to understand this",Untill scoring get locked,🟡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meeting with Sazid bhai to get ideation about scoring, how to do IDP's - taking MEAL thinking on that"," 5 May, 26",🟢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Drafting the proposed Scoring after analysing different combinition ans scoring style, pattern"," 15 Jul, 26",🟡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discussing proposed scoring sheet with MEAL," 20 Jul, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presenting proposed scoring sheet to inter-team and taking feedback," 30 Jul, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Incorporating feedback, vetting with meal team, alignment with finalized indicators"," 5 Aug, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discussing the scoring with inter-team and MEAL and finalize the scoring criteria," 11 Aug, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"In this full day workshop, we will make ready community level indicator and presents HH scoring system based on final indicators. MEAL persons should be present in this workshop"," 13 Aug, 26",⚫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Creating Information taking Intruments with T4D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
